"Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality"
"Sandeep Sharma,Rajasthan Royals Squad,Right,Right,Pacer,Indian"
"Kuldeep Sen,Rajasthan Royals Squad,Right,Right,Pacer,Indian"
"Adam Zampa,Rajasthan Royals Squad,Right,Right,Wrist Spinners,International"
"Faf du Plessis,Royal Challengers Bangalore Squad,Right,Right,Wrist Spinners,International"
"Anuj Rawat,Royal Challengers Bangalore Squad,Left,,,Indian"
"Saurav Chauhan,Royal Challengers Bangalore Squad,Left,Right,Finger Spinners,Indian"
"Dinesh Karthik,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,Indian"
"Virat Kohli,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian"
"Rajat Patidar,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,Indian"
"Akash Deep,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian"
"Manoj Bhandage,Royal Challengers Bangalore Squad,Left,Right,Pacer,Indian"
"Tom Curran,Royal Challengers Bangalore Squad,Right,Right,Pacer,International"
"Cameron Green,Royal Challengers Bangalore Squad,Right,Right,Pacer,International"
"Will Jacks,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,International"
"Mahipal Lomror,Royal Challengers Bangalore Squad,Left,Left,Finger Spinners,Indian"
"Glenn Maxwell,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,International"
"Suyash Prabhudessai,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian"
"Mayank Dagar,Royal Challengers Bangalore Squad,Right,Left,Finger Spinners,Indian"
"Lockie Ferguson,Royal Challengers Bangalore Squad,Right,Right,Pacer,International"
"Alzarri Joseph,Royal Challengers Bangalore Squad,Right,Right,Pacer,International"
"Mohammed Siraj,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian"
"Rajan Kumar,Royal Challengers Bangalore Squad,Left,Left,Pacer,Indian"
"Himanshu Sharma,Royal Challengers Bangalore Squad,Right,Right,Wrist Spinners,Indian"
"Karn Sharma,Royal Challengers Bangalore Squad,Left,Right,Wrist Spinners,Indian"
"Swapnil Singh,Royal Challengers Bangalore Squad,Right,Left,Finger Spinners,Indian"
"Reece Topley,Royal Challengers Bangalore Squad,Right,Left,Pacer,International"
"Vijaykumar Vyshak,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian"
"Yash Dayal,Royal Challengers Bangalore Squad,Right,Left,Pacer,Indian"
"Abdul Samad,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,Indian"
"Mayank Agarwal,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,Indian"
"Anmolpreet Singh,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,Indian"
"Travis Head,Sunrisers Hyderabad Squad,Left,Right,Finger Spinners,International"
"Heinrich Klaasen,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,International"
"Aiden Markram,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,International"
"Rahul Tripathi,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian"
"Upendra Yadav,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,Indian"
"Abhishek Sharma,Sunrisers Hyderabad Squad,Left,Left,Finger Spinners,Indian"
"Wanindu Hasaranga,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,International"
"Marco Jansen,Sunrisers Hyderabad Squad,Right,Left,Pacer,International"
"Nitish Kumar Reddy,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian"
"Glenn Phillips,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,International"
