Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality,Team Acronym
Dinesh Karthik,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,Indian,RCB
Virat Kohli,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian,RCB
Rajat Patidar,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,Indian,RCB
Akash Deep,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian,RCB
Manoj Bhandage,Royal Challengers Bangalore Squad,Left,Right,Pacer,Indian,RCB
Tom Curran,Royal Challengers Bangalore Squad,Right,Right,Pacer,International,RCB
Cameron Green,Royal Challengers Bangalore Squad,Right,Right,Pacer,International,RCB
Will Jacks,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,International,RCB
Mahipal Lomror,Royal Challengers Bangalore Squad,Left,Left,Finger Spinners,Indian,RCB
Glenn Maxwell,Royal Challengers Bangalore Squad,Right,Right,Finger Spinners,International,RCB
Suyash Prabhudessai,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian,RCB
Mayank Dagar,Royal Challengers Bangalore Squad,Right,Left,Finger Spinners,Indian,RCB
Lockie Ferguson,Royal Challengers Bangalore Squad,Right,Right,Pacer,International,RCB
Alzarri Joseph,Royal Challengers Bangalore Squad,Right,Right,Pacer,International,RCB
Mohammed Siraj,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian,RCB
Rajan Kumar,Royal Challengers Bangalore Squad,Left,Left,Pacer,Indian,RCB
Himanshu Sharma,Royal Challengers Bangalore Squad,Right,Right,Wrist Spinners,Indian,RCB
Karn Sharma,Royal Challengers Bangalore Squad,Left,Right,Wrist Spinners,Indian,RCB
Swapnil Singh,Royal Challengers Bangalore Squad,Right,Left,Finger Spinners,Indian,RCB
Reece Topley,Royal Challengers Bangalore Squad,Right,Left,Pacer,International,RCB
Vijaykumar Vyshak,Royal Challengers Bangalore Squad,Right,Right,Pacer,Indian,RCB
Yash Dayal,Royal Challengers Bangalore Squad,Right,Left,Pacer,Indian,RCB
Abdul Samad,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,Indian,SRH
Mayank Agarwal,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,Indian,SRH
Anmolpreet Singh,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,Indian,SRH
Travis Head,Sunrisers Hyderabad Squad,Left,Right,Finger Spinners,International,SRH
Heinrich Klaasen,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,International,SRH
Aiden Markram,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,International,SRH
Rahul Tripathi,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian,SRH
Upendra Yadav,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,Indian,SRH
Abhishek Sharma,Sunrisers Hyderabad Squad,Left,Left,Finger Spinners,Indian,SRH
Wanindu Hasaranga,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,International,SRH
Marco Jansen,Sunrisers Hyderabad Squad,Right,Left,Pacer,International,SRH
Nitish Kumar Reddy,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian,SRH
Glenn Phillips,Sunrisers Hyderabad Squad,Right,Right,Finger Spinners,International,SRH
Sanvir Singh,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian,SRH
Shahbaz Ahmed,Sunrisers Hyderabad Squad,Left,Left,Finger Spinners,Indian,SRH
Washington Sundar,Sunrisers Hyderabad Squad,Left,Right,Finger Spinners,Indian,SRH
Pat Cummins,Sunrisers Hyderabad Squad,Right,Right,Pacer,International,SRH
Akash Singh,Sunrisers Hyderabad Squad,Right,Left,Pacer,Indian,SRH
Fazalhaq Farooqi,Sunrisers Hyderabad Squad,Right,Left,Pacer,International,SRH
Bhuvneshwar Kumar,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian,SRH
Mayank Markande,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,Indian,SRH
T Natarajan,Sunrisers Hyderabad Squad,Left,Left,Pacer,Indian,SRH
Jhathavedh Subramanyan,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,International,SRH
Umran Malik,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian,SRH
Jaydev Unadkat,Sunrisers Hyderabad Squad,Right,Left,Pacer,Indian,SRH
